"","FALSE","TRUE","FALSE","TRUE"
"apyrene",68,41,0.623853211009174,0.376146788990826
"eupyrene",57,59,0.491379310344828,0.508620689655172
"unbiased",895,257,0.776909722222222,0.223090277777778
