Prap	DpleGene	MsexGene
PIERAPT00000033243	DPOGS203834	Msex2.07873,Msex2.07874
PIERAPT00000010019	DPOGS203834	Msex2.07873,Msex2.07874
PIERAPT00000015210	DPOGS213073,DPOGS207062	Msex2.06123,Msex2.14503
PIERAPT00000035233	DPOGS213073,DPOGS207062	Msex2.06123,Msex2.14503
PIERAPT00000018367	DPOGS212744	Msex2.07494,Msex2.10110
PIERAPT00000028437	DPOGS212744	Msex2.07494,Msex2.10110
PIERAPT00000024704	DPOGS206652	Msex2.00491,Msex2.00492
PIERAPT00000025855	DPOGS206652	Msex2.00491,Msex2.00492
PIERAPT00000020637	DPOGS209083	Msex2.08181,Msex2.08182
PIERAPT00000021528	DPOGS209083	Msex2.08181,Msex2.08182
PIERAPT00000005019	DPOGS213078	Msex2.12450,Msex2.14167
PIERAPT00000005269	DPOGS213078	Msex2.12450,Msex2.14167
PIERAPT00000021735	DPOGS209009,DPOGS209016	Msex2.00696,Msex2.05734
PIERAPT00000004251	DPOGS209729,DPOGS209730	Msex2.06024
PIERAPT00000004805	DPOGS209729,DPOGS209730	Msex2.06024
PIERAPT00000031739	DPOGS208414,DPOGS208415	Msex2.07526
PIERAPT00000035803	DPOGS208414,DPOGS208415	Msex2.07526
PIERAPT00000001282	DPOGS204786	Msex2.04136,Msex2.04138
PIERAPT00000021964	DPOGS204786	Msex2.04136,Msex2.04138
PIERAPT00000023981	DPOGS215733	Msex2.03738,Msex2.03740
PIERAPT00000028400	DPOGS215733	Msex2.03738,Msex2.03740
PIERAPT00000019403	DPOGS216053,DPOGS216054	Msex2.01694
PIERAPT00000027625	DPOGS216053,DPOGS216054	Msex2.01694
PIERAPT00000019227	DPOGS215135	Msex2.11401,Msex2.11829
PIERAPT00000019304	DPOGS215135	Msex2.11401,Msex2.11829
PIERAPT00000006203	DPOGS211846	Msex2.11820,Msex2.13448
PIERAPT00000022875	DPOGS211846	Msex2.11820,Msex2.13448
PIERAPT00000002768	DPOGS201142	Msex2.10166,Msex2.13122
PIERAPT00000013911	DPOGS201142	Msex2.10166,Msex2.13122
PIERAPT00000018784	DPOGS212450,DPOGS212451	Msex2.11091
PIERAPT00000033968	DPOGS212450,DPOGS212451	Msex2.11091
PIERAPT00000003491	DPOGS215648,DPOGS215649	Msex2.05455
PIERAPT00000019015	DPOGS215648,DPOGS215649	Msex2.05455
PIERAPT00000001589	DPOGS209617	Msex2.06314,Msex2.13045
PIERAPT00000031063	DPOGS209617	Msex2.06314,Msex2.13045
PIERAPT00000001410	DPOGS201573	Msex2.07074,Msex2.12534
PIERAPT00000004209	DPOGS201573	Msex2.07074,Msex2.12534
PIERAPT00000001406	DPOGS210406	Msex2.13344,Msex2.13736
PIERAPT00000016666	DPOGS210406	Msex2.13344,Msex2.13736
PIERAPT00000022345	DPOGS211844	Msex2.11819,Msex2.13444
PIERAPT00000028586	DPOGS211844	Msex2.11819,Msex2.13444
PIERAPT00000004595	DPOGS200490	Msex2.02963
PIERAPT00000030226	DPOGS200490	Msex2.02963
PIERAPT00000032619	DPOGS200490	Msex2.02963
PIERAPT00000032243	DPOGS216183,DPOGS216184	Msex2.01819,Msex2.01804
PIERAPT00000005783	DPOGS210727	Msex2.02472
PIERAPT00000017792	DPOGS210727	Msex2.02472
PIERAPT00000025071	DPOGS210727	Msex2.02472
PIERAPT00000010983	DPOGS213474	Msex2.11297
PIERAPT00000026132	DPOGS213474	Msex2.11297
PIERAPT00000035317	DPOGS213474	Msex2.11297
PIERAPT00000000762	DPOGS209814	Msex2.15530,Msex2.10092
