# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	5	0.125	DPOGS209796-PA	Msex2.00555-RC,Msex2.11112-RA,Msex2.00562-RA	PIERAPT00000034823
3	5	0.125	DPOGS212730-PA,DPOGS204790-PA	Msex2.04366-RA	PIERAPT00000032809,PIERAPT00000033025
3	5	0.124	DPOGS206753-PA,DPOGS206754-PA	Msex2.03809-RB,Msex2.03800-RA	PIERAPT00000017684
3	5	0.123	DPOGS206483-PA	Msex2.01847-RA	PIERAPT00000008044,PIERAPT00000030641,PIERAPT00000032547
3	5	0.119	DPOGS213495-PA,DPOGS213465-PA,DPOGS213494-PA	Msex2.14626-RA	PIERAPT00000001231
3	5	0.118	DPOGS203466-PA	Msex2.10172-RC,Msex2.10170-RB	PIERAPT00000019555,PIERAPT00000013181
3	5	0.116	DPOGS209089-PA	Msex2.03851-RA,Msex2.03850-RA	PIERAPT00000001522,PIERAPT00000020881
3	5	0.116	DPOGS209320-PA	Msex2.08539-RA,Msex2.08537-RA,Msex2.08538-RA	PIERAPT00000010932
3	5	0.112	DPOGS200707-PA,DPOGS211912-PA	Msex2.11877-RB,Msex2.13160-RA	PIERAPT00000023773
3	5	0.111	DPOGS208630-PA,DPOGS204159-PA	Msex2.11736-RA	PIERAPT00000020084,PIERAPT00000023893
3	5	0.107	DPOGS204422-PA	Msex2.06854-RB	PIERAPT00000001043,PIERAPT00000000628,PIERAPT00000018923
3	5	0.101	DPOGS205387-PA,DPOGS205388-PA	Msex2.05339-RA	PIERAPT00000024013,PIERAPT00000027392
3	4	0.5	DPOGS203213-PA	Msex2.06729-RB	PIERAPT00000013091,PIERAPT00000029888
3	4	0.499	DPOGS200730-PA	Msex2.10610-RA,Msex2.10611-RA	PIERAPT00000031211
3	4	0.499	DPOGS207272-PA	Msex2.01030-RA	PIERAPT00000002215,PIERAPT00000015887
3	4	0.499	DPOGS210250-PA	Msex2.07583-RC,Msex2.07584-RA	PIERAPT00000024988
3	4	0.499	DPOGS214345-PA	Msex2.10063-RA	PIERAPT00000028576,PIERAPT00000030227
3	4	0.498	DPOGS200167-PA	Msex2.01010-RC	PIERAPT00000005557,PIERAPT00000011247
3	4	0.498	DPOGS200593-PA	Msex2.04052-RB	PIERAPT00000004399,PIERAPT00000018226
3	4	0.498	DPOGS200821-PA	Msex2.06677-RA	PIERAPT00000016426,PIERAPT00000033531
3	4	0.498	DPOGS201813-PA	Msex2.07480-RA,Msex2.12647-RB	PIERAPT00000020421
3	4	0.498	DPOGS201992-PA	Msex2.13503-RA	PIERAPT00000018478,PIERAPT00000027609
3	4	0.498	DPOGS204572-PA	Msex2.09078-RA	PIERAPT00000001947,PIERAPT00000030221
