# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	4	0.487	DPOGS211519-PA	Msex2.10779-RA	PIERAPT00000029303,PIERAPT00000033662
3	4	0.487	DPOGS213409-PA,DPOGS212680-PA	Msex2.04724-RB	PIERAPT00000011942
3	4	0.487	DPOGS214233-PA	Msex2.03196-RA	PIERAPT00000022448,PIERAPT00000024458
3	4	0.486	DPOGS201196-PA	Msex2.04757-RB	PIERAPT00000022956,PIERAPT00000033440
3	4	0.486	DPOGS201733-PA,DPOGS201734-PA	Msex2.05984-RA	PIERAPT00000029672
3	4	0.486	DPOGS206918-PA	Msex2.05100-RA	PIERAPT00000008360,PIERAPT00000024103
3	4	0.486	DPOGS209649-PA	Msex2.05035-RA	PIERAPT00000017315,PIERAPT00000021677
3	4	0.486	DPOGS209758-PA	Msex2.00130-RA	PIERAPT00000000547,PIERAPT00000003499
3	4	0.486	DPOGS210700-PA,DPOGS210702-PA	Msex2.02432-RA	PIERAPT00000007762
3	4	0.486	DPOGS214128-PA	Msex2.10471-RA	PIERAPT00000018185,PIERAPT00000030583
3	4	0.486	DPOGS215623-PA	Msex2.10033-RA,Msex2.10034-RA	PIERAPT00000000213
3	4	0.485	DPOGS200132-PA	Msex2.14939-RA	PIERAPT00000011998,PIERAPT00000012297
3	4	0.485	DPOGS200939-PA	Msex2.13127-RA,Msex2.14274-RA	PIERAPT00000025748
3	4	0.485	DPOGS202885-PA	Msex2.12428-RA	PIERAPT00000021229,PIERAPT00000029896
3	4	0.485	DPOGS204881-PA	Msex2.10323-RA	PIERAPT00000005750,PIERAPT00000021804
3	4	0.485	DPOGS207052-PA	Msex2.11140-RA,Msex2.15536-RC	PIERAPT00000015444
3	4	0.485	DPOGS208010-PA	Msex2.04619-RB	PIERAPT00000020749,PIERAPT00000034305
3	4	0.485	DPOGS212419-PA	Msex2.04501-RD	PIERAPT00000003262,PIERAPT00000029872
3	4	0.484	DPOGS200645-PA	Msex2.04053-RA	PIERAPT00000007677,PIERAPT00000032205
3	4	0.484	DPOGS201415-PA	Msex2.10316-RA,Msex2.13798-RA	PIERAPT00000000278
3	4	0.484	DPOGS202505-PA	Msex2.02501-RA	PIERAPT00000005376,PIERAPT00000010255
3	4	0.484	DPOGS207442-PA	Msex2.08238-RA	PIERAPT00000018508,PIERAPT00000024314
3	4	0.484	DPOGS207824-PA	Msex2.02259-RA	PIERAPT00000002823,PIERAPT00000016791
3	4	0.484	DPOGS209700-PA	Msex2.02868-RB	PIERAPT00000025813,PIERAPT00000029514
3	4	0.484	DPOGS211919-PA	Msex2.12859-RA,Msex2.13336-RA	PIERAPT00000034772
3	4	0.484	DPOGS213275-PA	Msex2.04576-RA,Msex2.12094-RA	PIERAPT00000034582
3	4	0.484	DPOGS213692-PA	Msex2.08350-RA	PIERAPT00000001040,PIERAPT00000027471
3	4	0.483	DPOGS201791-PA	Msex2.12955-RA,Msex2.13304-RA	PIERAPT00000014461
3	4	0.483	DPOGS202747-PA	Msex2.13343-RA,Msex2.13735-RA	PIERAPT00000009839
3	4	0.483	DPOGS203196-PA	Msex2.01919-RA	PIERAPT00000002475,PIERAPT00000013857
3	4	0.483	DPOGS205639-PA	Msex2.05646-RA	PIERAPT00000002340,PIERAPT00000035292
3	4	0.483	DPOGS208169-PA	Msex2.03769-RA	PIERAPT00000011507,PIERAPT00000012026
3	4	0.483	DPOGS211558-PA,DPOGS211559-PA	Msex2.01519-RA	PIERAPT00000024695
3	4	0.483	DPOGS212995-PA	Msex2.05489-RA	PIERAPT00000001339,PIERAPT00000003445
3	4	0.483	DPOGS215824-PA	Msex2.13538-RA,Msex2.13732-RA	PIERAPT00000033020
3	4	0.482	DPOGS204503-PA	Msex2.03300-RA,Msex2.13653-RA	PIERAPT00000021195
3	4	0.482	DPOGS205147-PA	Msex2.09926-RB	PIERAPT00000019673,PIERAPT00000024096
3	4	0.482	DPOGS206792-PA	Msex2.09451-RA,Msex2.11393-RB	PIERAPT00000028712
3	4	0.482	DPOGS207453-PA	Msex2.08843-RA,Msex2.12618-RA	PIERAPT00000016777
3	4	0.482	DPOGS209220-PA	Msex2.04011-RB	PIERAPT00000013446,PIERAPT00000024536
3	4	0.482	DPOGS212464-PA,DPOGS212465-PA	Msex2.09613-RB	PIERAPT00000016662
3	4	0.482	DPOGS212919-PA	Msex2.01488-RA	PIERAPT00000003713,PIERAPT00000004293
3	4	0.482	DPOGS214364-PA	Msex2.05828-RA,Msex2.07618-RA	PIERAPT00000014787
3	4	0.481	DPOGS201514-PA	Msex2.12650-RB	PIERAPT00000009212,PIERAPT00000012078
3	4	0.481	DPOGS201805-PA	Msex2.12164-RA,Msex2.14250-RA	PIERAPT00000007989
3	4	0.481	DPOGS204004-PA	Msex2.03879-RA	PIERAPT00000004405,PIERAPT00000027930
3	4	0.481	DPOGS204130-PA	Msex2.00763-RA	PIERAPT00000014554,PIERAPT00000020218
3	4	0.481	DPOGS204332-PA	Msex2.12366-RB,Msex2.12367-RA	PIERAPT00000018385
3	4	0.481	DPOGS206337-PA	Msex2.00095-RA	PIERAPT00000002001,PIERAPT00000005179
3	4	0.481	DPOGS207479-PA	Msex2.08851-RB,Msex2.13238-RA	PIERAPT00000017901
3	4	0.481	DPOGS208840-PA	Msex2.13975-RB	PIERAPT00000005879,PIERAPT00000024310
3	4	0.481	DPOGS210119-PA,DPOGS210120-PA	Msex2.13066-RA	PIERAPT00000014864
3	4	0.481	DPOGS210275-PA	Msex2.09838-RA	PIERAPT00000015496,PIERAPT00000031985
3	4	0.481	DPOGS212747-PA	Msex2.07499-RA,Msex2.10105-RA	PIERAPT00000034367
3	4	0.481	DPOGS213269-PA	Msex2.04577-RA,Msex2.12095-RA	PIERAPT00000021294
3	4	0.481	DPOGS213950-PA	Msex2.08209-RA	PIERAPT00000021608,PIERAPT00000021657
3	4	0.481	DPOGS214585-PA	Msex2.11007-RA	PIERAPT00000018363,PIERAPT00000026484
3	4	0.481	DPOGS215969-PA	Msex2.05146-RA,Msex2.09485-RA	PIERAPT00000030166
3	4	0.48	DPOGS211521-PA,DPOGS211523-PA	Msex2.10782-RB	PIERAPT00000020664
3	4	0.48	DPOGS213357-PA	Msex2.01827-RA,Msex2.01829-RA	PIERAPT00000027674
3	4	0.48	DPOGS213826-PA,DPOGS213827-PA	Msex2.02635-RA	PIERAPT00000015449
3	4	0.479	DPOGS204353-PA	Msex2.02722-RA	PIERAPT00000007864,PIERAPT00000013409
3	4	0.479	DPOGS208156-PA	Msex2.13678-RA	PIERAPT00000025581,PIERAPT00000033572
3	4	0.479	DPOGS209948-PA	Msex2.07329-RB,Msex2.07330-RA	PIERAPT00000001109
3	4	0.479	DPOGS215053-PA	Msex2.01109-RA	PIERAPT00000006501,PIERAPT00000018858
3	4	0.478	DPOGS201022-PA	Msex2.03353-RA,Msex2.03354-RA	PIERAPT00000026605
3	4	0.478	DPOGS204185-PA	Msex2.08032-RA,Msex2.14315-RB	PIERAPT00000012601
3	4	0.478	DPOGS215926-PA	Msex2.03098-RA	PIERAPT00000004557,PIERAPT00000031448
3	4	0.477	DPOGS202703-PA	Msex2.07893-RD	PIERAPT00000001737,PIERAPT00000021254
3	4	0.477	DPOGS203493-PA,DPOGS203494-PA	Msex2.07466-RA	PIERAPT00000000515
3	4	0.477	DPOGS206369-PA	Msex2.00947-RA	PIERAPT00000006653,PIERAPT00000007857
3	4	0.477	DPOGS209640-PA	Msex2.05048-RA	PIERAPT00000006318,PIERAPT00000027918
3	4	0.477	DPOGS210041-PA	Msex2.13130-RB	PIERAPT00000005799,PIERAPT00000018402
3	4	0.477	DPOGS212421-PA	Msex2.04497-RA	PIERAPT00000005715,PIERAPT00000019721
3	4	0.477	DPOGS212765-PA	Msex2.13371-RA	PIERAPT00000002617,PIERAPT00000020689
3	4	0.476	DPOGS200364-PA	Msex2.03532-RA	PIERAPT00000007289,PIERAPT00000033706
3	4	0.476	DPOGS205230-PA	Msex2.10665-RA	PIERAPT00000008109,PIERAPT00000020481
