"TranscriptID","GeneID","GeneName"
"PIERAPT00000000572","PIERAPG00000000232","anapc5"
"PIERAPT00000000573","PIERAPG00000000233","csnk1a1"
"PIERAPT00000000574","PIERAPG00000000234","CREB3L3"
"PIERAPT00000000575","PIERAPG00000000235","Gld_2"
"PIERAPT00000000577","PIERAPG00000000236","TTPA"
"PIERAPT00000000579","PIERAPG00000000237","EF"
"PIERAPT00000000580","PIERAPG00000000238","RDRP"
"PIERAPT00000000581","PIERAPG00000000239","FAB1DPATZ1"
"PIERAPT00000000584","PIERAPG00000000240","Lrrc34"
"PIERAPT00000000588","PIERAPG00000000241","Sh"
"PIERAPT00000000589","PIERAPG00000000242","SLC25A27"
"PIERAPT00000000590","PIERAPG00000000243","Scsalpha"
"PIERAPT00000000592","PIERAPG00000000244","ALL6"
"PIERAPT00000000593","PIERAPG00000000245","dna2"
"PIERAPT00000000594","PIERAPG00000000246","Kcnip1"
"PIERAPT00000000595","PIERAPG00000000247","topA"
"PIERAPT00000000596","PIERAPG00000000248","dnk"
"PIERAPT00000000597","PIERAPG00000000249","PSMD2"
"PIERAPT00000000599","PIERAPG00000000250","TEX261"
"PIERAPT00000000606","PIERAPG00000000251","KMT2CRPII"
"PIERAPT00000000620","PIERAPG00000000252","ADAMTSL3"
"PIERAPT00000000622","PIERAPG00000000253","CG12006"
"PIERAPT00000000623","PIERAPG00000000254","CP089"
"PIERAPT00000000625","PIERAPG00000000255","GA19813CPIJ001500"
"PIERAPT00000000627","PIERAPG00000000256","march5"
"PIERAPT00000000628","PIERAPG00000000257","ESD"
"PIERAPT00000000629","PIERAPG00000000258","HUB2"
"PIERAPT00000000632","PIERAPG00000000259","Mns1"
"PIERAPT00000000636","PIERAPG00000000260","AGRN"
"PIERAPT00000000637","PIERAPG00000000261","Msh6"
"PIERAPT00000000638","PIERAPG00000000262","G112608"
"PIERAPT00000000640","PIERAPG00000000263","Tace"
"PIERAPT00000000641","PIERAPG00000000264","colt"
"PIERAPT00000000645","PIERAPG00000000265","ZNF317dapE"
"PIERAPT00000000649","PIERAPG00000000266","NEFMstat3.2"
"PIERAPT00000000655","PIERAPG00000000267","tsr1CG7338"
"PIERAPT00000000656","PIERAPG00000000268","MYRO1"
"PIERAPT00000000657","PIERAPG00000000269","CCAP-R"
"PIERAPT00000000659","PIERAPG00000000270","dlst"
"PIERAPT00000000661","PIERAPG00000000271","leuCchd8"
"PIERAPT00000000663","PIERAPG00000000272","FAM183A"
"PIERAPT00000000667","PIERAPG00000000273","NPR1GCY"
"PIERAPT00000000673","PIERAPG00000000274","Ttc21b"
"PIERAPT00000000674","PIERAPG00000000275","serS"
"PIERAPT00000000675","PIERAPG00000000276","APOD"
"PIERAPT00000000676","PIERAPG00000000277","ANKFN1"
"PIERAPT00000000677","PIERAPG00000000278","Zbtb24"
"PIERAPT00000000678","PIERAPG00000000279","otof"
"PIERAPT00000000679","PIERAPG00000000280","RIOK3"
"PIERAPT00000000685","PIERAPG00000000281","sh3bp5lpcs"
"PIERAPT00000000686","PIERAPG00000000282","PNLIPRP2"
"PIERAPT00000000690","PIERAPG00000000283","fz"
"PIERAPT00000000691","PIERAPG00000000284","fbp"
"PIERAPT00000000692","PIERAPG00000000285","PNN"
"PIERAPT00000000695","PIERAPG00000000286","BOLA3"
"PIERAPT00000000696","PIERAPG00000000287","COX6B1"
"PIERAPT00000000697","PIERAPG00000000288","TRYP6"
"PIERAPT00000000698","PIERAPG00000000289","C7orf26"
"PIERAPT00000000700","PIERAPG00000000290","PRSS53"
"PIERAPT00000000701","PIERAPG00000000291","CHORD"
"PIERAPT00000000702","PIERAPG00000000292","retm"
"PIERAPT00000000705","PIERAPG00000000293","Cyp305a1"
"PIERAPT00000000706","PIERAPG00000000294","murI"
"PIERAPT00000000710","PIERAPG00000000295","G103709"
"PIERAPT00000000712","PIERAPG00000000296","CIRH1A"
"PIERAPT00000000719","PIERAPG00000000297","afap1l2"
"PIERAPT00000000720","PIERAPG00000000298","CCDC132"
"PIERAPT00000000722","PIERAPG00000000299","eno"
"PIERAPT00000000723","PIERAPG00000000300","rnf2-a"
"PIERAPT00000000724","PIERAPG00000000301","guaC"
"PIERAPT00000000729","PIERAPG00000000302","ANKMY1rnhB"
"PIERAPT00000000730","PIERAPG00000000303","ssaB"
"PIERAPT00000000731","PIERAPG00000000304","Rbm12"
"PIERAPT00000000736","PIERAPG00000000305","ZNF609"
"PIERAPT00000000746","PIERAPG00000000306","sacA"
"PIERAPT00000000747","PIERAPG00000000307","Utp15"
"PIERAPT00000000750","PIERAPG00000000308","Spt5"
"PIERAPT00000000751","PIERAPG00000000309","B3GNT5"
