"TranscriptID","GeneID","GeneName"
"PIERAPT00000009128","PIERAPG00000003808","EXD2"
"PIERAPT00000009129","PIERAPG00000003809","mobA"
"PIERAPT00000009131","PIERAPG00000003810","GBAgba-3"
"PIERAPT00000009132","PIERAPG00000003811","pol_3"
"PIERAPT00000009133","PIERAPG00000003812","IBTK"
"PIERAPT00000009137","PIERAPG00000003813","G110985"
"PIERAPT00000009138","PIERAPG00000003814","cls"
"PIERAPT00000009140","PIERAPG00000003815","HMCN1_2"
"PIERAPT00000009146","PIERAPG00000003816","Cdk10"
"PIERAPT00000009147","PIERAPG00000003817","MCPH1"
"PIERAPT00000009150","PIERAPG00000003818","Slc46a3"
"PIERAPT00000009151","PIERAPG00000003819","CHYM2_3"
"PIERAPT00000009154","PIERAPG00000003820","Klk1b11Klk1b27"
"PIERAPT00000009156","PIERAPG00000003821","G108681"
"PIERAPT00000009157","PIERAPG00000003822","sbf2"
"PIERAPT00000009159","PIERAPG00000003823","PRS6B"
"PIERAPT00000009166","PIERAPG00000003824","KDM6A"
"PIERAPT00000009169","PIERAPG00000003825","SM41"
"PIERAPT00000009171","PIERAPG00000003826","GCC1"
"PIERAPT00000009178","PIERAPG00000003827","msta_2"
"PIERAPT00000009186","PIERAPG00000003828","sli"
"PIERAPT00000009190","PIERAPG00000003829","Pacsin2pacsin1b"
"PIERAPT00000009200","PIERAPG00000003830","LYST"
"PIERAPT00000009211","PIERAPG00000003831","egh_3"
"PIERAPT00000009212","PIERAPG00000003832","Prdm1"
"PIERAPT00000009213","PIERAPG00000003833","pnbA"
"PIERAPT00000009214","PIERAPG00000003834","Clk"
"PIERAPT00000009226","PIERAPG00000003835","NID2"
"PIERAPT00000009231","PIERAPG00000003836","IgfalsLRRC26"
"PIERAPT00000009235","PIERAPG00000003837","TRYA_2"
"PIERAPT00000009236","PIERAPG00000003838","Agfg1"
"PIERAPT00000009239","PIERAPG00000003839","Csad"
"PIERAPT00000009242","PIERAPG00000003840","Ime4"
"PIERAPT00000009243","PIERAPG00000003841","best-24"
"PIERAPT00000009245","PIERAPG00000003842","Mark3"
"PIERAPT00000009248","PIERAPG00000003843","G108347"
"PIERAPT00000009249","PIERAPG00000003844","SELL"
"PIERAPT00000009250","PIERAPG00000003845","sesB_2"
"PIERAPT00000009251","PIERAPG00000003846","Slit1"
"PIERAPT00000009252","PIERAPG00000003847","N6AMT1"
"PIERAPT00000009253","PIERAPG00000003848","NARS"
"PIERAPT00000009254","PIERAPG00000003849","FDPS_2"
"PIERAPT00000009258","PIERAPG00000003850","fhaB_4"
"PIERAPT00000009259","PIERAPG00000003851","march8"
"PIERAPT00000009260","PIERAPG00000003852","ade"
"PIERAPT00000009261","PIERAPG00000003853","nrdF"
"PIERAPT00000009262","PIERAPG00000003854","sid-3"
"PIERAPT00000009263","PIERAPG00000003855","Rngtt"
"PIERAPT00000009264","PIERAPG00000003856","TPM2"
"PIERAPT00000009273","PIERAPG00000003857","maoA"
"PIERAPT00000009274","PIERAPG00000003858","Cyp4d20"
"PIERAPT00000009276","PIERAPG00000003859","UBP5"
"PIERAPT00000009277","PIERAPG00000003860","mnmG"
"PIERAPT00000009278","PIERAPG00000003861","CETN1"
"PIERAPT00000009279","PIERAPG00000003862","EIF2AK1"
"PIERAPT00000009280","PIERAPG00000003863","CTPsyn"
"PIERAPT00000009282","PIERAPG00000003864","CYP6K1_2"
"PIERAPT00000009283","PIERAPG00000003865","pr-set7"
"PIERAPT00000009286","PIERAPG00000003866","Cep97"
"PIERAPT00000009288","PIERAPG00000003867","TRAK1_2"
"PIERAPT00000009289","PIERAPG00000003868","BSX"
"PIERAPT00000009294","PIERAPG00000003869","Srrm2"
"PIERAPT00000009296","PIERAPG00000003870","ORF56"
"PIERAPT00000009297","PIERAPG00000003871","ZNF84_2"
"PIERAPT00000009298","PIERAPG00000003872","DFP6"
"PIERAPT00000009299","PIERAPG00000003873","slc29a4"
"PIERAPT00000009300","PIERAPG00000003874","Tspo"
"PIERAPT00000009305","PIERAPG00000003875","YBM1_2"
"PIERAPT00000009308","PIERAPG00000003876","Tret1_17"
"PIERAPT00000009309","PIERAPG00000003877","Gfral"
"PIERAPT00000009310","PIERAPG00000003878","mRpL52"
"PIERAPT00000009313","PIERAPG00000003879","kz"
"PIERAPT00000009318","PIERAPG00000003880","S"
"PIERAPT00000009320","PIERAPG00000003881","TBCB"
"PIERAPT00000009322","PIERAPG00000003882","SLC36A1Slc36a4"
"PIERAPT00000009325","PIERAPG00000003883","IGFALS_2"
"PIERAPT00000009327","PIERAPG00000003884","SLC9A3"
"PIERAPT00000009328","PIERAPG00000003885","G111233"
"PIERAPT00000009330","PIERAPG00000003886","Tret1_18"
"PIERAPT00000009331","PIERAPG00000003887","Mal-B2_2"
"PIERAPT00000009335","PIERAPG00000003888","Kiaa1161"
"PIERAPT00000009339","PIERAPG00000003889","epb4.1l4EPB41L4A"
"PIERAPT00000009344","PIERAPG00000003890","ppk28"
"PIERAPT00000009345","PIERAPG00000003891","Nudt1"
"PIERAPT00000009346","PIERAPG00000003892","ileS_2"
"PIERAPT00000009347","PIERAPG00000003893","mthl5_2"
"PIERAPT00000009349","PIERAPG00000003894","Kaz-m1_2"
"PIERAPT00000009350","PIERAPG00000003895","PNLIP_4"
"PIERAPT00000009351","PIERAPG00000003896","kdpA"
"PIERAPT00000009352","PIERAPG00000003897","G114111"
"PIERAPT00000009356","PIERAPG00000003898","murA"
"PIERAPT00000009359","PIERAPG00000003899","Picot_2"
"PIERAPT00000009365","PIERAPG00000003900","NitFhitnft-1"
"PIERAPT00000009367","PIERAPG00000003901","RpL4"
"PIERAPT00000009369","PIERAPG00000003902","CHYM2_4"
"PIERAPT00000009370","PIERAPG00000003903","MIPEP"
"PIERAPT00000009371","PIERAPG00000003904","ygiK"
"PIERAPT00000009374","PIERAPG00000003905","Eif2b1"
"PIERAPT00000009375","PIERAPG00000003906","Phf2"
"PIERAPT00000009376","PIERAPG00000003907","Uch"
"PIERAPT00000009377","PIERAPG00000003908","OMBP_3"
"PIERAPT00000009378","PIERAPG00000003909","Adf1_3"
"PIERAPT00000009379","PIERAPG00000003910","CycE"
"PIERAPT00000009381","PIERAPG00000003911","clpE"
"PIERAPT00000009382","PIERAPG00000003912","secY2"
"PIERAPT00000009384","PIERAPG00000003913","BRMS1L"
"PIERAPT00000009388","PIERAPG00000003914","Lrrc4b"
"PIERAPT00000009391","PIERAPG00000003915","eIF-4E"
"PIERAPT00000009392","PIERAPG00000003916","cpcT1"
"PIERAPT00000009393","PIERAPG00000003917","Tomm22"
"PIERAPT00000009394","PIERAPG00000003918","upp"
"PIERAPT00000009399","PIERAPG00000003919","INTS9"
"PIERAPT00000009401","PIERAPG00000003920","Usp16"
"PIERAPT00000009407","PIERAPG00000003921","Slc36a4_2"
"PIERAPT00000009408","PIERAPG00000003922","vanR"
"PIERAPT00000009409","PIERAPG00000003923","thyA"
"PIERAPT00000009410","PIERAPG00000003924","rplR_2"
"PIERAPT00000009412","PIERAPG00000003925","EHMT1"
"PIERAPT00000009413","PIERAPG00000003926","MPN"
"PIERAPT00000009414","PIERAPG00000003927","NPR3"
"PIERAPT00000009415","PIERAPG00000003928","MDN1_2"
"PIERAPT00000009417","PIERAPG00000003929","RpL14"
"PIERAPT00000009419","PIERAPG00000003930","ADTRP_3"
"PIERAPT00000009420","PIERAPG00000003931","DDR48"
"PIERAPT00000009421","PIERAPG00000003932","pta"
"PIERAPT00000009422","PIERAPG00000003933","TEAD1"
"PIERAPT00000009423","PIERAPG00000003934","SNTG1"
"PIERAPT00000009424","PIERAPG00000003935","CTRAPLG"
"PIERAPT00000009430","PIERAPG00000003936","LDTI"
"PIERAPT00000009432","PIERAPG00000003937","Enkur"
"PIERAPT00000009434","PIERAPG00000003938","KEAP1"
"PIERAPT00000009435","PIERAPG00000003939","Cspp1"
"PIERAPT00000009437","PIERAPG00000003940","Adam8TYR"
"PIERAPT00000009438","PIERAPG00000003941","TRA1"
"PIERAPT00000009439","PIERAPG00000003942","ALG13"
"PIERAPT00000009441","PIERAPG00000003943","nrf-64.2"
"PIERAPT00000009442","PIERAPG00000003944","nhp2l1"
"PIERAPT00000009443","PIERAPG00000003945","Ufd1-like"
"PIERAPT00000009444","PIERAPG00000003946","SPBC359.01"
"PIERAPT00000009448","PIERAPG00000003947","Slc10a3"
"PIERAPT00000009449","PIERAPG00000003948","G110353"
"PIERAPT00000009450","PIERAPG00000003949","MYLK"
"PIERAPT00000009451","PIERAPG00000003950","hop_2"
"PIERAPT00000009452","PIERAPG00000003951","EHD1"
"PIERAPT00000009454","PIERAPG00000003952","DPH3"
"PIERAPT00000009455","PIERAPG00000003953","hint3"
"PIERAPT00000009456","PIERAPG00000003954","TRIO"
"PIERAPT00000009457","PIERAPG00000003955","CIDEC"
"PIERAPT00000009458","PIERAPG00000003956","DnaJ-1"
"PIERAPT00000009459","PIERAPG00000003957","FASN_4"
"PIERAPT00000009460","PIERAPG00000003958","SPON1"
"PIERAPT00000009462","PIERAPG00000003959","TRYP_3"
"PIERAPT00000009464","PIERAPG00000003960","Snap25"
"PIERAPT00000009465","PIERAPG00000003961","sox2"
"PIERAPT00000009466","PIERAPG00000003962","GTF2E1"
"PIERAPT00000009469","PIERAPG00000003963","inx1"
"PIERAPT00000009470","PIERAPG00000003964","INTU"
"PIERAPT00000009472","PIERAPG00000003965","LRRN2"
"PIERAPT00000009473","PIERAPG00000003966","dapA_3"
"PIERAPT00000009474","PIERAPG00000003967","Dnah5"
"PIERAPT00000009481","PIERAPG00000003968","Tti1"
"PIERAPT00000009491","PIERAPG00000003969","ARHGEF10"
"PIERAPT00000009492","PIERAPG00000003970","RDRPligAruvA"
"PIERAPT00000009495","PIERAPG00000003971","G113584"
"PIERAPT00000009497","PIERAPG00000003972","mbt"
"PIERAPT00000009499","PIERAPG00000003973","Nadk2"
"PIERAPT00000009503","PIERAPG00000003974","Dapk1"
"PIERAPT00000009504","PIERAPG00000003975","GORAB"
"PIERAPT00000009506","PIERAPG00000003976","CAMKK2"
"PIERAPT00000009510","PIERAPG00000003977","Sec23a"
"PIERAPT00000009511","PIERAPG00000003978","CG5270_2"
"PIERAPT00000009516","PIERAPG00000003979","eIF3-S8"
"PIERAPT00000009517","PIERAPG00000003980","VSG2APH"
"PIERAPT00000009520","PIERAPG00000003981","HERC2"
"PIERAPT00000009522","PIERAPG00000003982","tmem201"
"PIERAPT00000009526","PIERAPG00000003983","Cdk2ap1"
"PIERAPT00000009527","PIERAPG00000003984","DPEP1"
"PIERAPT00000009529","PIERAPG00000003985","cheB"
"PIERAPT00000009530","PIERAPG00000003986","Mrps22"
"PIERAPT00000009531","PIERAPG00000003987","nrf-6_6"
"PIERAPT00000009534","PIERAPG00000003988","SmG"
"PIERAPT00000009536","PIERAPG00000003989","ST14"
"PIERAPT00000009538","PIERAPG00000003990","Cyp4g15"
"PIERAPT00000009547","PIERAPG00000003991","NPHS1Cd22cadm3"
"PIERAPT00000009550","PIERAPG00000003992","glnQ"
"PIERAPT00000009558","PIERAPG00000003993","C16orf62CP062"
"PIERAPT00000009559","PIERAPG00000003994","GET4"
"PIERAPT00000009560","PIERAPG00000003995","anon-3B1.2_5"
"PIERAPT00000009561","PIERAPG00000003996","CCDC170"
"PIERAPT00000009567","PIERAPG00000003997","ALN"
"PIERAPT00000009570","PIERAPG00000003998","G113561"
"PIERAPT00000009571","PIERAPG00000003999","tkt"
"PIERAPT00000009573","PIERAPG00000004000","CG40127"
"PIERAPT00000009574","PIERAPG00000004001","Stard7ZNF404"
"PIERAPT00000009577","PIERAPG00000004002","sys1"
"PIERAPT00000009578","PIERAPG00000004003","RABGGTA"
"PIERAPT00000009579","PIERAPG00000004004","Scrt1"
"PIERAPT00000009580","PIERAPG00000004005","unc-89"
"PIERAPT00000009581","PIERAPG00000004006","RDH11"
"PIERAPT00000009582","PIERAPG00000004007","FLYWCH1"
"PIERAPT00000009583","PIERAPG00000004008","ZNF271"
"PIERAPT00000009586","PIERAPG00000004009","CFAP52WDR16"
"PIERAPT00000009590","PIERAPG00000004010","gem1"
"PIERAPT00000009593","PIERAPG00000004011","Tret1At2g48020"
"PIERAPT00000009598","PIERAPG00000004012","PGM3"
"PIERAPT00000009600","PIERAPG00000004013","Sv2c_2"
"PIERAPT00000009605","PIERAPG00000004014","IpmkB0272.3"
"PIERAPT00000009607","PIERAPG00000004015","Syt1"
"PIERAPT00000009608","PIERAPG00000004016","Khdrbs2"
"PIERAPT00000009611","PIERAPG00000004017","Clp"
"PIERAPT00000009617","PIERAPG00000004018","Tdrkh_2"
"PIERAPT00000009624","PIERAPG00000004019","PIK3AP1"
"PIERAPT00000009627","PIERAPG00000004020","ATE1"
"PIERAPT00000009632","PIERAPG00000004021","SAMD1Dpf2"
"PIERAPT00000009638","PIERAPG00000004022","Nlgn3ESTF"
"PIERAPT00000009641","PIERAPG00000004023","trpS"
"PIERAPT00000009642","PIERAPG00000004024","nsun4"
"PIERAPT00000009643","PIERAPG00000004025","mbo"
"PIERAPT00000009644","PIERAPG00000004026","Gbeta76C"
"PIERAPT00000009646","PIERAPG00000004027","infB_5"
"PIERAPT00000009647","PIERAPG00000004028","G100814"
"PIERAPT00000009648","PIERAPG00000004029","lbx1"
"PIERAPT00000009649","PIERAPG00000004030","At3g05165"
"PIERAPT00000009650","PIERAPG00000004031","CHYM1_4"
"PIERAPT00000009651","PIERAPG00000004032","Ankle2_2"
"PIERAPT00000009652","PIERAPG00000004033","Orct_2"
"PIERAPT00000009654","PIERAPG00000004034","calB"
"PIERAPT00000009659","PIERAPG00000004035","Npffr1NPFFR2"
"PIERAPT00000009661","PIERAPG00000004036","rpiA"
"PIERAPT00000009662","PIERAPG00000004037","rnr"
"PIERAPT00000009663","PIERAPG00000004038","CG5065_3"
"PIERAPT00000009664","PIERAPG00000004039","Lip3_3"
"PIERAPT00000009666","PIERAPG00000004040","Avl9"
"PIERAPT00000009667","PIERAPG00000004041","PLAU"
"PIERAPT00000009668","PIERAPG00000004042","scpA"
"PIERAPT00000009670","PIERAPG00000004043","Picot_3"
"PIERAPT00000009672","PIERAPG00000004044","C1QTNF9RZ1A"
"PIERAPT00000009678","PIERAPG00000004045","TGMH_2"
"PIERAPT00000009680","PIERAPG00000004046","mthfsd"
"PIERAPT00000009685","PIERAPG00000004047","LRP1"
"PIERAPT00000009686","PIERAPG00000004048","RYa-R_2"
"PIERAPT00000009687","PIERAPG00000004049","Hey2"
"PIERAPT00000009688","PIERAPG00000004050","COGS_6"
"PIERAPT00000009689","PIERAPG00000004051","MAD1L1"
"PIERAPT00000009690","PIERAPG00000004052","Nsun7"
"PIERAPT00000009694","PIERAPG00000004053","MYRO1_8"
"PIERAPT00000009698","PIERAPG00000004054","BGBP"
"PIERAPT00000009700","PIERAPG00000004055","TBC1D9"
"PIERAPT00000009706","PIERAPG00000004056","Sap47"
"PIERAPT00000009708","PIERAPG00000004057","dpp4"
"PIERAPT00000009709","PIERAPG00000004058","ADORA2B"
"PIERAPT00000009712","PIERAPG00000004059","CU02"
"PIERAPT00000009713","PIERAPG00000004060","Gpdh"
"PIERAPT00000009714","PIERAPG00000004061","recF"
"PIERAPT00000009715","PIERAPG00000004062","ABAP1"
"PIERAPT00000009717","PIERAPG00000004063","Ddx17DDX5"
"PIERAPT00000009720","PIERAPG00000004064","Appbp2"
"PIERAPT00000009721","PIERAPG00000004065","psdht"
"PIERAPT00000009723","PIERAPG00000004066","Tret1Tret1-2_2"
"PIERAPT00000009724","PIERAPG00000004067","G102446"
"PIERAPT00000009726","PIERAPG00000004068","Tace_2"
"PIERAPT00000009727","PIERAPG00000004069","CG14757"
"PIERAPT00000009729","PIERAPG00000004070","AP3M2"
"PIERAPT00000009730","PIERAPG00000004071","METTL3"
"PIERAPT00000009732","PIERAPG00000004072","At1g33420pdr1"
"PIERAPT00000009733","PIERAPG00000004073","PCP"
"PIERAPT00000009734","PIERAPG00000004074","Kdm4B"
"PIERAPT00000009735","PIERAPG00000004075","Hdc"
"PIERAPT00000009736","PIERAPG00000004076","acyP"
"PIERAPT00000009737","PIERAPG00000004077","SAV"
"PIERAPT00000009743","PIERAPG00000004078","AGBL5"
"PIERAPT00000009761","PIERAPG00000004079","Psmd9"
"PIERAPT00000009762","PIERAPG00000004080","Os05g0585400"
"PIERAPT00000009764","PIERAPG00000004081","Ppfibp2"
"PIERAPT00000009772","PIERAPG00000004082","CDKL3"
"PIERAPT00000009778","PIERAPG00000004083","dx"
"PIERAPT00000009779","PIERAPG00000004084","addA"
"PIERAPT00000009782","PIERAPG00000004085","RALGPS2"
"PIERAPT00000009787","PIERAPG00000004086","LRP2MLRP2tsuA"
"PIERAPT00000009793","PIERAPG00000004087","rnhB"
"PIERAPT00000009794","PIERAPG00000004088","Shaw_2"
"PIERAPT00000009796","PIERAPG00000004089","Unc79"
"PIERAPT00000009797","PIERAPG00000004090","cysM"
"PIERAPT00000009798","PIERAPG00000004091","sws"
"PIERAPT00000009799","PIERAPG00000004092","Picot_4"
"PIERAPT00000009802","PIERAPG00000004093","pyx_2"
"PIERAPT00000009806","PIERAPG00000004094","Rrp8nifECCDC112"
"PIERAPT00000009815","PIERAPG00000004095","DDRGK"
"PIERAPT00000009816","PIERAPG00000004096","XDH"
"PIERAPT00000009819","PIERAPG00000004097","ARL3"
"PIERAPT00000009820","PIERAPG00000004098","Brsk1"
"PIERAPT00000009821","PIERAPG00000004099","SCP"
"PIERAPT00000009823","PIERAPG00000004100","ptn-a"
"PIERAPT00000009828","PIERAPG00000004101","CYP4C1Cyp4c3"
"PIERAPT00000009831","PIERAPG00000004102","WDR66"
"PIERAPT00000009832","PIERAPG00000004103","Fasn"
"PIERAPT00000009838","PIERAPG00000004104","Rpp25l"
"PIERAPT00000009839","PIERAPG00000004105","CG6073"
"PIERAPT00000009841","PIERAPG00000004106","CTR1_3"
"PIERAPT00000009843","PIERAPG00000004107","thyA_2"
"PIERAPT00000009844","PIERAPG00000004108","Mb1304c"
"PIERAPT00000009845","PIERAPG00000004109","Mblk-1_3"
"PIERAPT00000009849","PIERAPG00000004110","hangPrdm5ZFP2"
"PIERAPT00000009850","PIERAPG00000004111","DYHC_3"
"PIERAPT00000009853","PIERAPG00000004112","PRDM13rpoCRPO132"
"PIERAPT00000009854","PIERAPG00000004113","SMC2"
"PIERAPT00000009855","PIERAPG00000004114","BMPER"
"PIERAPT00000009859","PIERAPG00000004115","Ugt"
"PIERAPT00000009865","PIERAPG00000004116","Yaf2"
"PIERAPT00000009872","PIERAPG00000004117","ClC-a"
"PIERAPT00000009882","PIERAPG00000004118","argH"
"PIERAPT00000009883","PIERAPG00000004119","dh41"
"PIERAPT00000009885","PIERAPG00000004120","calcrla"
"PIERAPT00000009887","PIERAPG00000004121","Npepps"
"PIERAPT00000009890","PIERAPG00000004122","ea_3"
"PIERAPT00000009893","PIERAPG00000004123","DLDH"
"PIERAPT00000009899","PIERAPG00000004124","BAZ2B_2"
"PIERAPT00000009900","PIERAPG00000004125","SLC16A6"
"PIERAPT00000009901","PIERAPG00000004126","tig_2"
"PIERAPT00000009902","PIERAPG00000004127","LGALS7"
"PIERAPT00000009903","PIERAPG00000004128","FANCL"
"PIERAPT00000009904","PIERAPG00000004129","CG4646"
"PIERAPT00000009906","PIERAPG00000004130","CG3714"
"PIERAPT00000009909","PIERAPG00000004131","Tpsb2"
"PIERAPT00000009910","PIERAPG00000004132","WDR3_2"
"PIERAPT00000009913","PIERAPG00000004133","uvrA"
"PIERAPT00000009914","PIERAPG00000004134","Dcst1"
"PIERAPT00000009916","PIERAPG00000004135","CJ076"
"PIERAPT00000009918","PIERAPG00000004136","enosf1"
"PIERAPT00000009920","PIERAPG00000004137","DHX30"
"PIERAPT00000009921","PIERAPG00000004138","G107273"
"PIERAPT00000009922","PIERAPG00000004139","slc5a9"
"PIERAPT00000009924","PIERAPG00000004140","CG4495"
"PIERAPT00000009925","PIERAPG00000004141","SLC22A10"
"PIERAPT00000009928","PIERAPG00000004142","ZNF836"
"PIERAPT00000009932","PIERAPG00000004143","Gusb"
"PIERAPT00000009935","PIERAPG00000004144","tp53"
"PIERAPT00000009936","PIERAPG00000004145","Wdr35"
"PIERAPT00000009939","PIERAPG00000004146","MJ0002"
"PIERAPT00000009940","PIERAPG00000004147","ATG26"
"PIERAPT00000009941","PIERAPG00000004148","DPH7"
"PIERAPT00000009944","PIERAPG00000004149","Tbl2"
"PIERAPT00000009948","PIERAPG00000004150","to_3"
"PIERAPT00000009949","PIERAPG00000004151","CdGAPr"
"PIERAPT00000009950","PIERAPG00000004152","pet117"
"PIERAPT00000009951","PIERAPG00000004153","IPO5"
"PIERAPT00000009953","PIERAPG00000004154","Pipox"
"PIERAPT00000009956","PIERAPG00000004155","EPG5"
"PIERAPT00000009970","PIERAPG00000004156","Gyc32E"
"PIERAPT00000009971","PIERAPG00000004157","Abra"
"PIERAPT00000009975","PIERAPG00000004158","nrdRYC006"
"PIERAPT00000009979","PIERAPG00000004159","DPYS"
"PIERAPT00000009989","PIERAPG00000004160","Pex14"
"PIERAPT00000009990","PIERAPG00000004161","galK"
"PIERAPT00000009991","PIERAPG00000004162","WDR77"
"PIERAPT00000009992","PIERAPG00000004163","G103788"
"PIERAPT00000009993","PIERAPG00000004164","cspLA"
"PIERAPT00000009994","PIERAPG00000004165","NA"
"PIERAPT00000009995","PIERAPG00000004166","DENND4B"
"PIERAPT00000009999","PIERAPG00000004167","TMC5_2"
"PIERAPT00000010000","PIERAPG00000004168","COI"
"PIERAPT00000010001","PIERAPG00000004169","Ndufs1"
"PIERAPT00000010005","PIERAPG00000004170","pan1"
"PIERAPT00000010006","PIERAPG00000004171","CG11486"
"PIERAPT00000010019","PIERAPG00000004172","IFI30_3"
"PIERAPT00000010021","PIERAPG00000004173","Obp72_3"
"PIERAPT00000010022","PIERAPG00000004174","ganA"
"PIERAPT00000010036","PIERAPG00000004175","Rusc2"
"PIERAPT00000010038","PIERAPG00000004176","CG12375"
"PIERAPT00000010039","PIERAPG00000004177","trmB_2"
"PIERAPT00000010040","PIERAPG00000004178","rpsF"
"PIERAPT00000010041","PIERAPG00000004179","ABCF2"
"PIERAPT00000010042","PIERAPG00000004180","Lrrc71"
"PIERAPT00000010043","PIERAPG00000004181","SLC25A15"
"PIERAPT00000010046","PIERAPG00000004182","bag"
"PIERAPT00000010047","PIERAPG00000004183","tctex1d1"
"PIERAPT00000010048","PIERAPG00000004184","CROL3"
"PIERAPT00000010050","PIERAPG00000004185","MIMI_R849"
"PIERAPT00000010052","PIERAPG00000004186","dlb"
"PIERAPT00000010057","PIERAPG00000004187","Wdpcpfrtz"
"PIERAPT00000010061","PIERAPG00000004188","trk2"
"PIERAPT00000010063","PIERAPG00000004189","MED28"
"PIERAPT00000010066","PIERAPG00000004190","WDR87BMPR2"
"PIERAPT00000010069","PIERAPG00000004191","TTPATtpal"
"PIERAPT00000010072","PIERAPG00000004192","Anpep"
"PIERAPT00000010074","PIERAPG00000004193","HEATR3"
"PIERAPT00000010075","PIERAPG00000004194","rfbC"
"PIERAPT00000010076","PIERAPG00000004195","GPR101"
"PIERAPT00000010077","PIERAPG00000004196","pyd3"
"PIERAPT00000010078","PIERAPG00000004197","CASP8AP2"
"PIERAPT00000010081","PIERAPG00000004198","FAAH2_2"
"PIERAPT00000010083","PIERAPG00000004199","Nmdar1_2"
"PIERAPT00000010087","PIERAPG00000004200","eRF1"
"PIERAPT00000010088","PIERAPG00000004201","EIF3I"
"PIERAPT00000010090","PIERAPG00000004202","CBR1_2"
"PIERAPT00000010091","PIERAPG00000004203","cdsA"
"PIERAPT00000010093","PIERAPG00000004204","USP2"
"PIERAPT00000010097","PIERAPG00000004205","TRYP7_2"
"PIERAPT00000010098","PIERAPG00000004206","topbp1-A"
"PIERAPT00000010103","PIERAPG00000004207","Ddx28"
"PIERAPT00000010105","PIERAPG00000004208","At4g39970abcA1"
"PIERAPT00000010106","PIERAPG00000004209","GNL2"
"PIERAPT00000010112","PIERAPG00000004210","DSTYK_2"
"PIERAPT00000010114","PIERAPG00000004211","IFT46"
"PIERAPT00000010116","PIERAPG00000004212","l(2)37Cc"
"PIERAPT00000010119","PIERAPG00000004213","VPS13A"
"PIERAPT00000010120","PIERAPG00000004214","TRAPPC1CNTROB"
"PIERAPT00000010123","PIERAPG00000004215","Dok2"
"PIERAPT00000010124","PIERAPG00000004216","A4GALT_2"
"PIERAPT00000010126","PIERAPG00000004217","FDPS_3"
"PIERAPT00000010127","PIERAPG00000004218","RS3A"
"PIERAPT00000010128","PIERAPG00000004219","PBAN"
"PIERAPT00000010144","PIERAPG00000004220","Sorbs1SORBS3"
"PIERAPT00000010151","PIERAPG00000004221","oct-1"
"PIERAPT00000010153","PIERAPG00000004222","to_4"
"PIERAPT00000010154","PIERAPG00000004223","SODC"
"PIERAPT00000010156","PIERAPG00000004224","Usp36"
"PIERAPT00000010158","PIERAPG00000004225","RpS21"
"PIERAPT00000010163","PIERAPG00000004226","DTWD2"
"PIERAPT00000010164","PIERAPG00000004227","NTN1"
"PIERAPT00000010165","PIERAPG00000004228","Glo1"
"PIERAPT00000010168","PIERAPG00000004229","GMFB"
"PIERAPT00000010169","PIERAPG00000004230","DNMBP"
"PIERAPT00000010170","PIERAPG00000004231","Sel1l3"
"PIERAPT00000010174","PIERAPG00000004232","1a_2"
"PIERAPT00000010175","PIERAPG00000004233","NHP2"
"PIERAPT00000010177","PIERAPG00000004234","MYO18A_3"
"PIERAPT00000010178","PIERAPG00000004235","argB"
"PIERAPT00000010182","PIERAPG00000004236","Akap10"
"PIERAPT00000010183","PIERAPG00000004237","NARS_2"
"PIERAPT00000010185","PIERAPG00000004238","B3GALT1"
"PIERAPT00000010190","PIERAPG00000004239","Ggamma30A"
"PIERAPT00000010191","PIERAPG00000004240","Trip4"
"PIERAPT00000010193","PIERAPG00000004241","tbc1d30"
"PIERAPT00000010198","PIERAPG00000004242","snkCEP135"
"PIERAPT00000010202","PIERAPG00000004243","GA10450"
"PIERAPT00000010203","PIERAPG00000004244","csw"
"PIERAPT00000010204","PIERAPG00000004245","TRYP3_2"
"PIERAPT00000010205","PIERAPG00000004246","DAP"
"PIERAPT00000010206","PIERAPG00000004247","dhs-27"
"PIERAPT00000010208","PIERAPG00000004248","Gabbr2"
"PIERAPT00000010210","PIERAPG00000004249","AAEL013712"
"PIERAPT00000010211","PIERAPG00000004250","ech-6"
"PIERAPT00000010212","PIERAPG00000004251","srlE"
"PIERAPT00000010213","PIERAPG00000004252","BCR"
"PIERAPT00000010214","PIERAPG00000004253","psmg1"
"PIERAPT00000010215","PIERAPG00000004254","SCARB1_2"
"PIERAPT00000010216","PIERAPG00000004255","Iba57"
"PIERAPT00000010218","PIERAPG00000004256","CG8412"
"PIERAPT00000010219","PIERAPG00000004257","TRYP_4"
"PIERAPT00000010221","PIERAPG00000004258","PUS3"
"PIERAPT00000010223","PIERAPG00000004259","mnmA"
"PIERAPT00000010224","PIERAPG00000004260","cut-1"
"PIERAPT00000010226","PIERAPG00000004261","argH_2"
"PIERAPT00000010227","PIERAPG00000004262","UBR3_2"
"PIERAPT00000010228","PIERAPG00000004263","accA"
"PIERAPT00000010229","PIERAPG00000004264","Gld_9"
"PIERAPT00000010231","PIERAPG00000004265","UHRF1BP1L"
"PIERAPT00000010236","PIERAPG00000004266","Zcchc2"
"PIERAPT00000010238","PIERAPG00000004267","G110149"
"PIERAPT00000010250","PIERAPG00000004268","gC"
"PIERAPT00000010252","PIERAPG00000004269","parn"
"PIERAPT00000010255","PIERAPG00000004270","Mbd2_2"
"PIERAPT00000010256","PIERAPG00000004271","ZNF541"
"PIERAPT00000010262","PIERAPG00000004272","Pka-R1"
