"TrxID","GeneName","GeneID"
"PIERAPT00000000034","MFSD6","PIERAPG00000000008"
"PIERAPT00000000035","MFSD6","PIERAPG00000000008"
"PIERAPT00000000036","MFSD6","PIERAPG00000000008"
"PIERAPT00000000037","SPCC1494.07THADA","PIERAPG00000000009"
"PIERAPT00000000038","SPCC1494.07THADA","PIERAPG00000000009"
"PIERAPT00000000039","SPCC1494.07THADA","PIERAPG00000000009"
"PIERAPT00000000040","SMYD4","PIERAPG00000000010"
"PIERAPT00000000041","SMYD4","PIERAPG00000000010"
"PIERAPT00000000042","SMYD4","PIERAPG00000000010"
"PIERAPT00000000043","SMYD4","PIERAPG00000000010"
"PIERAPT00000000044","SMYD4","PIERAPG00000000010"
"PIERAPT00000000045","SMYD4","PIERAPG00000000010"
"PIERAPT00000000046","AdgbArl14epl","PIERAPG00000000011"
"PIERAPT00000000047","AdgbArl14epl","PIERAPG00000000011"
"PIERAPT00000000048","AdgbArl14epl","PIERAPG00000000011"
"PIERAPT00000000049","Or33a","PIERAPG00000000012"
"PIERAPT00000000050","Nrxn3","PIERAPG00000000013"
"PIERAPT00000000051","Arhgap19","PIERAPG00000000014"
"PIERAPT00000000052","CSY5","PIERAPG00000000015"
"PIERAPT00000000053","slmo","PIERAPG00000000016"
"PIERAPT00000000054","CTR","PIERAPG00000000017"
"PIERAPT00000000055","Gnb5","PIERAPG00000000018"
"PIERAPT00000000056","Trpm","PIERAPG00000000019"
"PIERAPT00000000057","Trpm","PIERAPG00000000019"
"PIERAPT00000000058","Trpm","PIERAPG00000000019"
"PIERAPT00000000059","Trpm","PIERAPG00000000019"
"PIERAPT00000000060","Trpm","PIERAPG00000000019"
"PIERAPT00000000061","Trpm","PIERAPG00000000019"
"PIERAPT00000000062","Trpm","PIERAPG00000000019"
"PIERAPT00000000063","Trpm","PIERAPG00000000019"
"PIERAPT00000000064","Trpm","PIERAPG00000000019"
"PIERAPT00000000065","Trpm","PIERAPG00000000019"
"PIERAPT00000000066","Trpm","PIERAPG00000000019"
"PIERAPT00000000067","Dph5","PIERAPG00000000020"
"PIERAPT00000000068","nkd","PIERAPG00000000021"
"PIERAPT00000000069","nkd","PIERAPG00000000021"
"PIERAPT00000000070","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000071","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000072","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000073","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000074","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000075","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000076","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000077","Atrnl1tag-53Atrn","PIERAPG00000000022"
"PIERAPT00000000078","Atrnl1tag-53Atrn","PIERAPG00000000022"
