"name","TrxID","GeneID","Npeptides","Ndetect.apy","Ndetect.eup","ID","Nobs.apy","Nobs.eup","mar","specific.eup","specific.apy","imputed","num_NAs","Means.Apy","Means.Eupy","Means.All","Apyrene_vs_Eupyrene_CI.L","Apyrene_vs_Eupyrene_CI.R","Apyrene_vs_Eupyrene_diff","Apyrene_vs_Eupyrene_p.adj","Apyrene_vs_Eupyrene_p.val","significant","Apyrene_vs_Eupyrene_significant","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de"
"PIERAPT00000000278","PIERAPT00000000278","PIERAPG00000000092",15,6,6,"PIERAPG00000000092",5,6,TRUE,FALSE,FALSE,FALSE,0,21.4880518978998,21.1768335571868,21.1768335571868,-0.546089565926798,1.68722348187446,0.570566957973831,0.854649210304943,0.294489953542586,FALSE,FALSE,0.570445574344729,FALSE,"unbiased"
"PIERAPT00000000294","PIERAPT00000000294","PIERAPG00000000099",20,6,6,"PIERAPG00000000099",5,6,TRUE,FALSE,FALSE,FALSE,0,20.3423331646347,21.112825138115,21.112825138115,-2.21737714986114,-0.607760086233241,-1.41256861804719,0.206790968685975,0.00187995893569777,FALSE,FALSE,0.0176524957690944,TRUE,"eupyrene"
"PIERAPT00000000296","PIERAPT00000000296","PIERAPG00000000101",2,3,2,"PIERAPG00000000101",4,2,TRUE,FALSE,FALSE,TRUE,5,12.3058669551469,12.3158160557296,12.3158160557296,-0.901758581340821,0.865278545870932,-0.0182400177349447,0.9191166610954,0.96560377969597,FALSE,FALSE,0.992459403007498,FALSE,"unbiased"
"PIERAPT00000000303","PIERAPT00000000303","PIERAPG00000000103",1,2,2,"PIERAPG00000000103",4,3,TRUE,FALSE,FALSE,TRUE,4,12.9657020937694,13.2729309632187,13.2729309632187,-1.23560360780299,0.109097753155521,-0.563252927323736,0.76213981090158,0.0946914849775694,FALSE,FALSE,0.294713947626817,FALSE,"unbiased"
"PIERAPT00000000305","PIERAPT00000000305","PIERAPG00000000103",1,3,1,"PIERAPG00000000103",3,4,TRUE,FALSE,FALSE,TRUE,4,14.0777978718156,13.4620451864222,13.4620451864222,0.275560077159382,1.98219976928286,1.12887992322112,0.497731234159264,0.0127645944552816,FALSE,FALSE,0.0771445672170112,FALSE,"unbiased"
"PIERAPT00000000307","PIERAPT00000000307","PIERAPG00000000104",18,6,6,"PIERAPG00000000104",5,6,TRUE,FALSE,FALSE,FALSE,0,23.0854784131395,22.6629389204249,22.6629389204249,0.0399714300570866,1.50934004322951,0.7746557366433,0.664131668194445,0.0400243976090357,FALSE,FALSE,0.172780646301863,FALSE,"unbiased"
"PIERAPT00000000310","PIERAPT00000000310","PIERAPG00000000107",2,6,4,"PIERAPG00000000107",5,4,TRUE,FALSE,FALSE,TRUE,2,15.7683049750224,15.3166513939025,15.3166513939025,0.0835782654963296,1.57248486527652,0.828031565386423,0.63220167039761,0.0314671151704252,FALSE,FALSE,0.147735439020471,FALSE,"unbiased"
"PIERAPT00000000328","PIERAPT00000000328","PIERAPG00000000117",6,6,6,"PIERAPG00000000117",5,6,TRUE,FALSE,FALSE,FALSE,0,21.6522293212528,21.9504630835862,21.9504630835862,-1.14556735222049,0.0520435569981506,-0.546761897611169,0.731845665707583,0.0707496548325762,FALSE,FALSE,0.243954204007763,FALSE,"unbiased"
"PIERAPT00000000343","PIERAPT00000000343","PIERAPG00000000126",5,5,2,"PIERAPG00000000126",5,4,TRUE,FALSE,FALSE,TRUE,2,16.8745675225985,16.408108817756,16.408108817756,0.0663865111586538,1.64396207326385,0.855174292211252,0.64801257244521,0.0353838050164741,FALSE,FALSE,0.159031488388141,FALSE,"unbiased"
"PIERAPT00000000350","PIERAPT00000000350","PIERAPG00000000129",12,6,6,"PIERAPG00000000129",5,6,TRUE,FALSE,FALSE,FALSE,0,18.8290938121471,21.4666314912657,21.4666314912657,-5.69413136023424,-3.97684012986718,-4.83548574505071,2.83322387644623e-11,2.53774501755098e-09,TRUE,TRUE,3.24440939936133e-07,TRUE,"eupyrene"
"PIERAPT00000000353","PIERAPT00000000353","PIERAPG00000000132",1,6,5,"PIERAPG00000000132",5,6,TRUE,FALSE,FALSE,FALSE,0,14.4304090361755,14.2307281653127,14.2307281653127,-0.518007349710677,1.2501705428744,0.366081596581861,0.872671590982172,0.392715393179998,FALSE,FALSE,0.655331587633362,FALSE,"unbiased"
"PIERAPT00000000362","PIERAPT00000000362","PIERAPG00000000136",4,6,6,"PIERAPG00000000136",5,6,TRUE,FALSE,FALSE,FALSE,0,18.2033475309812,18.1774783289312,18.1774783289312,-0.623427705280989,0.71828144613103,0.0474268704250207,0.91497716277452,0.882641098001168,FALSE,FALSE,0.954633834760115,FALSE,"unbiased"
"PIERAPT00000000385","PIERAPT00000000385","PIERAPG00000000146",25,6,6,"PIERAPG00000000146",5,6,TRUE,FALSE,FALSE,FALSE,0,24.000174190132,23.5818731908152,23.5818731908152,-0.0216857629200435,1.55545609374838,0.766885165414166,0.705150639298182,0.055869997453211,FALSE,FALSE,0.211516937966371,FALSE,"unbiased"
"PIERAPT00000000423","PIERAPT00000000423","PIERAPG00000000166",3,5,6,"PIERAPG00000000166",5,6,TRUE,FALSE,FALSE,FALSE,0,16.2557847837346,16.0271811750697,16.0271811750697,-0.329253920145069,1.16746715191642,0.419106615885674,0.844138867453213,0.252208523717677,FALSE,FALSE,0.523963208023475,FALSE,"unbiased"
"PIERAPT00000000432","PIERAPT00000000432","PIERAPG00000000172",3,6,6,"PIERAPG00000000172",5,6,TRUE,FALSE,FALSE,FALSE,0,17.6376297208278,17.7965001539657,17.7965001539657,-1.01694911080609,0.434424189300455,-0.291262460752819,0.874794057900334,0.407081138911082,FALSE,FALSE,0.665914225265963,FALSE,"unbiased"
"PIERAPT00000000463","PIERAPT00000000463","PIERAPG00000000181",3,6,6,"PIERAPG00000000181",5,6,TRUE,FALSE,FALSE,FALSE,0,15.8625457867802,15.8412009582615,15.8412009582615,-0.85107222061829,0.929336591853543,0.0391321856176265,0.917237842379194,0.926848380943733,FALSE,FALSE,0.973102974812688,FALSE,"unbiased"
"PIERAPT00000000484","PIERAPT00000000484","PIERAPG00000000194",10,3,5,"PIERAPG00000000194",2,5,TRUE,FALSE,FALSE,TRUE,4,17.1605634586797,16.6382336008913,16.6382336008913,0.306989920027806,1.6082195585296,0.957604739278704,0.392313919249856,0.00663177735647218,FALSE,FALSE,0.0463109830523393,TRUE,"apyrene"
"PIERAPT00000000553","PIERAPT00000000553","PIERAPG00000000224",6,6,6,"PIERAPG00000000224",5,6,TRUE,FALSE,FALSE,FALSE,0,18.1734868281335,18.0629043508519,18.0629043508519,-0.622153976439825,1.02762305980549,0.202734541682833,0.896911336594049,0.609208017491523,FALSE,FALSE,0.803752049655108,FALSE,"unbiased"
"PIERAPT00000000571","PIERAPT00000000571","PIERAPG00000000231",5,5,6,"PIERAPG00000000231",5,6,TRUE,FALSE,FALSE,FALSE,0,18.0672930383666,17.7513323855551,17.7513323855551,-0.404025463059729,1.56254785670198,0.579261196821125,0.837424335274636,0.229440910081558,FALSE,FALSE,0.496740417744757,FALSE,"unbiased"
"PIERAPT00000000584","PIERAPT00000000584","PIERAPG00000000240",5,3,1,"PIERAPG00000000240",3,1,FALSE,FALSE,FALSE,TRUE,7,15.6934122992419,15.5075359392214,15.5075359392214,-0.249295940634476,0.930842594043139,0.340773326704332,0.84014692480002,0.238319993368143,FALSE,FALSE,0.506506175163496,FALSE,"unbiased"
"PIERAPT00000000590","PIERAPT00000000590","PIERAPG00000000243",10,6,6,"PIERAPG00000000243",5,6,TRUE,FALSE,FALSE,FALSE,0,21.4392955445597,21.4048729731653,21.4048729731653,-0.623507544844531,0.749723639957497,0.0631080475564829,0.913098916293088,0.847839563231295,FALSE,FALSE,0.937531173712849,FALSE,"unbiased"
"PIERAPT00000000593","PIERAPT00000000593","PIERAPG00000000245",11,6,6,"PIERAPG00000000245",5,6,TRUE,FALSE,FALSE,FALSE,0,25.4861108772359,25.4393987867186,25.4393987867186,-0.703280016148673,0.874557681378979,0.0856388326151531,0.911571127830615,0.820765241807616,FALSE,FALSE,0.923671084244857,FALSE,"unbiased"
"PIERAPT00000000623","PIERAPT00000000623","PIERAPG00000000254",4,4,4,"PIERAPG00000000254",4,4,TRUE,FALSE,FALSE,TRUE,3,17.0325145286133,16.7086714930045,16.7086714930045,-0.56146313350403,1.7488875974028,0.593712231949386,0.85403533536732,0.291764755367603,FALSE,FALSE,0.568991833387617,FALSE,"unbiased"
"PIERAPT00000000628","PIERAPT00000000628","PIERAPG00000000257",2,4,5,"PIERAPG00000000257",5,6,TRUE,FALSE,FALSE,FALSE,0,15.7596374554355,15.8346310403769,15.8346310403769,-0.890483541000403,0.615507062881921,-0.137488239059241,0.904146385805242,0.703571129424644,FALSE,FALSE,0.861749476775551,FALSE,"unbiased"
"PIERAPT00000000632","PIERAPT00000000632","PIERAPG00000000259",9,6,6,"PIERAPG00000000259",5,6,TRUE,FALSE,FALSE,FALSE,0,19.4502207486258,19.0708558491534,19.0708558491534,0.0665651334535973,1.32443949794494,0.695502315699269,0.635868862523955,0.0323255934926584,FALSE,FALSE,0.150490578108679,FALSE,"unbiased"
"PIERAPT00000000659","PIERAPT00000000659","PIERAPG00000000270",10,4,6,"PIERAPG00000000270",4,6,TRUE,FALSE,FALSE,TRUE,1,15.8243565172887,18.0608784526381,18.0608784526381,-5.07959917266473,-3.12098125694977,-4.10029021480725,1.88475017664854e-06,1.53650686273098e-07,TRUE,TRUE,6.08017715680689e-06,TRUE,"eupyrene"
"PIERAPT00000000663","PIERAPT00000000663","PIERAPG00000000272",2,5,4,"PIERAPG00000000272",5,4,TRUE,FALSE,FALSE,TRUE,2,15.5900278474712,15.2323095802567,15.2323095802567,-0.229424368843151,1.54105801529627,0.65581682322656,0.795652834545184,0.135727583265155,FALSE,FALSE,0.35977550779376,FALSE,"unbiased"
"PIERAPT00000000696","PIERAPT00000000696","PIERAPG00000000287",2,6,6,"PIERAPG00000000287",5,6,TRUE,FALSE,FALSE,FALSE,0,16.743766671975,16.7196860487264,16.7196860487264,-1.2707805405314,1.35907615910975,0.0441478092891749,0.918085064964114,0.944093104670948,FALSE,FALSE,0.981290018738659,FALSE,"unbiased"
"PIERAPT00000000700","PIERAPT00000000700","PIERAPG00000000290",1,5,4,"PIERAPG00000000290",5,4,TRUE,FALSE,FALSE,TRUE,2,13.8215700218833,14.0551849823986,14.0551849823986,-1.33891346576411,0.482325277208125,-0.428294094277991,0.862623293991141,0.333267811214164,FALSE,FALSE,0.600749568587787,FALSE,"unbiased"
"PIERAPT00000000746","PIERAPT00000000746","PIERAPG00000000306",5,4,4,"PIERAPG00000000306",3,4,TRUE,FALSE,FALSE,TRUE,4,16.7478611088884,17.6420245219478,17.6420245219478,-2.63349983342611,-0.6450993477917,-1.6392995906089,0.270919679477276,0.00301902336707986,FALSE,FALSE,0.0252141549552097,TRUE,"eupyrene"
"PIERAPT00000000752","PIERAPT00000000752","PIERAPG00000000310",3,6,6,"PIERAPG00000000310",5,6,TRUE,FALSE,FALSE,FALSE,0,17.4136547155139,17.1061232473149,17.1061232473149,-0.626141547125399,1.75375693052154,0.56380769169807,0.86196557277418,0.329814842716638,FALSE,FALSE,0.596466015881449,FALSE,"unbiased"
"PIERAPT00000000793","PIERAPT00000000793","PIERAPG00000000334",3,3,5,"PIERAPG00000000334",3,5,TRUE,FALSE,FALSE,TRUE,3,16.0337444398288,15.8277016961616,15.8277016961616,-0.441070218247231,1.19656027836036,0.377745030056566,0.86430622286796,0.342329770903219,FALSE,FALSE,0.608565705319232,FALSE,"unbiased"
"PIERAPT00000000812","PIERAPT00000000812","PIERAPG00000000340",4,6,5,"PIERAPG00000000340",5,5,TRUE,FALSE,FALSE,TRUE,1,16.5250970661608,16.9492649696223,16.9492649696223,-1.72705593757877,0.171773624886382,-0.777641156346196,0.769053905582559,0.101627894495249,FALSE,FALSE,0.308221826005665,FALSE,"unbiased"
"PIERAPT00000000846","PIERAPT00000000846","PIERAPG00000000351",12,6,6,"PIERAPG00000000351",5,6,TRUE,FALSE,FALSE,FALSE,0,18.3831646284329,18.6830267177392,18.6830267177392,-1.24578428122156,0.146289953764937,-0.549747163728313,0.779440106337845,0.113391228343877,FALSE,FALSE,0.330045922079727,FALSE,"unbiased"
"PIERAPT00000000853","PIERAPT00000000853","PIERAPG00000000352",3,6,6,"PIERAPG00000000352",5,6,TRUE,FALSE,FALSE,FALSE,0,18.6543740338937,19.6291188201171,19.6291188201171,-2.47855926194391,-1.09550495420858,-1.78703210807624,0.0129553534202025,5.23571237775649e-05,TRUE,TRUE,0.00095623670020124,TRUE,"eupyrene"
"PIERAPT00000000855","PIERAPT00000000855","PIERAPG00000000354",2,5,5,"PIERAPG00000000354",5,6,TRUE,FALSE,FALSE,FALSE,0,15.5386837174102,15.378578864796,15.378578864796,-0.728115420861344,1.31516654711326,0.293525563125959,0.891647370316884,0.550723169487654,FALSE,FALSE,0.767870727926578,FALSE,"unbiased"
"PIERAPT00000000870","PIERAPT00000000870","PIERAPG00000000359",3,5,6,"PIERAPG00000000359",5,6,TRUE,FALSE,FALSE,FALSE,0,16.2262682013101,16.1039587888678,16.1039587888678,-0.551081049746971,0.999548895368941,0.224233922810985,0.891395099813172,0.548110001007115,FALSE,FALSE,0.766483436711786,FALSE,"unbiased"
"PIERAPT00000000886","PIERAPT00000000886","PIERAPG00000000365",1,4,1,"PIERAPG00000000365",4,1,FALSE,FALSE,TRUE,TRUE,6,13.9644845481867,13.9359499615867,13.9359499615867,-0.643220144548966,0.747846962082455,0.0523134087667447,0.91458364498205,0.875207806880021,FALSE,FALSE,0.952583742655268,FALSE,"apyrene"
"PIERAPT00000000887","PIERAPT00000000887","PIERAPG00000000366",2,6,6,"PIERAPG00000000366",5,6,TRUE,FALSE,FALSE,FALSE,0,19.4555936070113,19.474667948609,19.474667948609,-1.31945376947255,1.24951451694757,-0.034969626262491,0.918594869428725,0.954652404662704,FALSE,FALSE,0.987325635687252,FALSE,"unbiased"
"PIERAPT00000000893","PIERAPT00000000893","PIERAPG00000000369",3,5,6,"PIERAPG00000000369",5,6,TRUE,FALSE,FALSE,FALSE,0,17.7230309333085,17.2205446821785,17.2205446821785,0.183868191881458,1.65858139559543,0.921224793738443,0.547500218026449,0.0175620307033167,FALSE,FALSE,0.100648603547974,FALSE,"unbiased"
