ID=PIERAPG00000000045;Name=PLEKHG4B
ID=PIERAPG00000000046;Name=clpP
ID=PIERAPG00000000047;Name=cpx
ID=PIERAPG00000000048;Name=SCAF8
ID=PIERAPG00000000049;Name=SPAC12B10.01c
ID=PIERAPG00000000050;Name=CYP6B3
ID=PIERAPG00000000051;Name=ERF112
ID=PIERAPG00000000052;Name=PRMT1
ID=PIERAPG00000000053;Name=PLEKHA5
ID=PIERAPG00000000054;Name=ubiE
ID=PIERAPG00000000055;Name=IFI30
ID=PIERAPG00000000056;Name=bca-1
ID=PIERAPG00000000057;Name=ELAC2
ID=PIERAPG00000000058;Name=G109606
ID=PIERAPG00000000059;Name=RAD51A
ID=PIERAPG00000000060;Name=GST2
ID=PIERAPG00000000061;Name=EPHX4rlmF
ID=PIERAPG00000000062;Name=Obp72
ID=PIERAPG00000000063;Name=CYP4C1
ID=PIERAPG00000000064;Name=Fs(2)Ket
ID=PIERAPG00000000065;Name=Sec31bSntn
ID=PIERAPG00000000066;Name=MRPL43
ID=PIERAPG00000000067;Name=Gel
ID=PIERAPG00000000068;Name=holn1
ID=PIERAPG00000000069;Name=SODCC.2
ID=PIERAPG00000000070;Name=HI_1042
ID=PIERAPG00000000071;Name=tbpl1
ID=PIERAPG00000000072;Name=astA
ID=PIERAPG00000000073;Name=Bgb
ID=PIERAPG00000000074;Name=B4galt7
ID=PIERAPG00000000075;Name=Ift81
ID=PIERAPG00000000076;Name=Ttpal
ID=PIERAPG00000000077;Name=DDB_G0290223
ID=PIERAPG00000000078;Name=PSR
ID=PIERAPG00000000079;Name=LAC11
ID=PIERAPG00000000080;Name=snrpd3
ID=PIERAPG00000000081;Name=Rif1
ID=PIERAPG00000000082;Name=wge
ID=PIERAPG00000000083;Name=WASF2
ID=PIERAPG00000000084;Name=PPIL1
ID=PIERAPG00000000085;Name=Orct2
ID=PIERAPG00000000086;Name=Pabp2
ID=PIERAPG00000000087;Name=Tgfbi
ID=PIERAPG00000000088;Name=FAM135A
ID=PIERAPG00000000089;Name=G113907
ID=PIERAPG00000000090;Name=Obp72_2
ID=PIERAPG00000000091;Name=Rab21
ID=PIERAPG00000000092;Name=Pdia6
ID=PIERAPG00000000093;Name=BRAP
ID=PIERAPG00000000094;Name=G114722
ID=PIERAPG00000000095;Name=Cdt1
ID=PIERAPG00000000096;Name=ZNF853drm
ID=PIERAPG00000000097;Name=glt-1
ID=PIERAPG00000000098;Name=Tango1
ID=PIERAPG00000000099;Name=tdcB
ID=PIERAPG00000000100;Name=Ptpn9
ID=PIERAPG00000000101;Name=Dbt
ID=PIERAPG00000000102;Name=LRIT2
